Frame,timestep,Id,Location_x,Location_y,Location_z,Rotation_x,Rotation_y,Rotation_z
134,6.65,197,39632.4,16142.5,3.36956,39632.4,16142.5,3.36956
134,6.65,204,39634.1,4270.31,0.18644,39634.1,4270.31,0.18644
135,6.7,197,39632.4,16112.6,3.36684,39632.4,16112.6,3.36684
135,6.7,204,39634.1,4214.79,0.186604,39634.1,4214.79,0.186604
136,6.75,197,39632.4,16082.3,3.36311,39632.4,16082.3,3.36311
136,6.75,204,39634.2,4159.35,0.186623,39634.2,4159.35,0.186623
137,6.8,197,39632.4,16051.6,3.36127,39632.4,16051.6,3.36127
137,6.8,204,39634.2,4103.95,0.186356,39634.2,4103.95,0.186356
138,6.85,197,39632.4,16020.5,3.35847,39632.4,16020.5,3.35847
138,6.85,204,39634.3,4048.57,0.186024,39634.3,4048.57,0.186024
139,6.9,197,39632.4,15989.0,3.35745,39632.4,15989.0,3.35745
139,6.9,204,39634.4,3993.17,0.185478,39634.4,3993.17,0.185478
140,6.95,197,39632.3,15957.0,3.35545,39632.3,15957.0,3.35545
140,6.95,204,39634.5,3937.73,0.184975,39634.5,3937.73,0.184975
141,7,197,39632.3,15924.7,3.35511,39632.3,15924.7,3.35511
141,7,204,39634.5,3882.23,0.184361,39634.5,3882.23,0.184361
142,7.05,197,39632.3,15891.8,3.35375,39632.3,15891.8,3.35375
142,7.05,204,39634.6,3826.67,0.183895,39634.6,3826.67,0.183895
143,7.1,197,39632.3,15858.7,3.35389,39632.3,15858.7,3.35389
143,7.1,204,39634.6,3771.03,0.183422,39634.6,3771.03,0.183422
144,7.15,197,39632.3,15825.1,3.35469,39632.3,15825.1,3.35469
144,7.15,204,39634.7,3715.33,0.183155,39634.7,3715.33,0.183155
145,7.2,197,39632.3,15791.6,3.3619,39632.3,15791.6,3.3619
145,7.2,204,39634.8,3659.56,0.182922,39634.8,3659.56,0.182922
146,7.25,197,39632.2,15758.0,3.36726,39632.2,15758.0,3.36726
146,7.25,204,39634.9,3603.75,0.182915,39634.9,3603.75,0.182915
147,7.3,197,39632.2,15722.1,3.33452,39632.2,15722.1,3.33452
147,7.3,204,39634.9,3547.89,0.182934,39634.9,3547.89,0.182934
